G92 X0 Y0 Z0
G21
G90
F4000
G00 Z0.0000
G00 X113.87097 Y230.64516 Z0.0000
G01 X113.87097 Y230.64516 Z-4
G01 X113.87097 Y230.64516 Z-4
G01 X113.87097 Y230.64516 Z-4
G01 X113.87097 Y230.64516 Z-4
G01 X113.87097 Y230.48387 Z-4
G01 X113.87097 Y230 Z-3.8
G01 X113.87097 Y229.19355 Z-3.7
G01 X114.03226 Y228.3871 Z-3.7
G01 X114.19355 Y227.09677 Z-3.6
G01 X114.35484 Y225.64516 Z-3.5
G01 X114.51613 Y224.03226 Z-3.5
G01 X114.83871 Y222.74194 Z-3.6
G01 X115 Y221.45161 Z-3.5
G01 X115.16129 Y220.16129 Z-3.6
G01 X115.32258 Y218.70968 Z-3.5
G01 X115.48387 Y217.58065 Z-3.6
G01 X115.64516 Y216.93548 Z-3.7
G01 X115.80645 Y216.45161 Z-3.8
G01 X115.80645 Y216.12903 Z-3.8
G01 X115.96774 Y216.12903 Z-4
G01 X115.96774 Y216.12903 Z-4
G00 Z0.0000
G00 X119.51613 Y232.90323 Z0.0000
G01 X119.67742 Y233.06452 Z-3.9
G01 X120.16129 Y233.3871 Z-3.8
G01 X120.64516 Y233.54839 Z-3.8
G01 X120.96774 Y233.70968 Z-3.8
G01 X121.29032 Y233.87097 Z-3.8
G01 X121.45161 Y233.87097 Z-4
G01 X121.6129 Y233.87097 Z-3.9
G01 X121.93548 Y233.70968 Z-3.8
G01 X122.25806 Y233.54839 Z-3.8
G01 X122.41935 Y233.3871 Z-3.9
G01 X122.74194 Y232.90323 Z-3.8
G01 X123.06452 Y232.09677 Z-3.7
G01 X123.3871 Y230.96774 Z-3.6
G01 X123.54839 Y229.51613 Z-3.5
G01 X123.54839 Y228.06452 Z-3.5
G01 X123.54839 Y226.77419 Z-3.5
G01 X123.3871 Y225.32258 Z-3.5
G01 X123.22581 Y223.87097 Z-3.5
G01 X122.90323 Y222.41935 Z-3.5
G01 X122.58065 Y220.96774 Z-3.5
G01 X122.41935 Y219.83871 Z-3.6
G01 X122.25806 Y219.03226 Z-3.7
G01 X122.09677 Y218.54839 Z-3.8
G01 X121.93548 Y218.22581 Z-3.8
G01 X121.93548 Y218.06452 Z-4
G01 X121.77419 Y218.06452 Z-4
G01 X121.77419 Y217.90323 Z-4
G01 X121.6129 Y217.90323 Z-3.9
G01 X121.45161 Y218.06452 Z-3.9
G00 Z0.0000
G00 X118.06452 Y225.80645 Z0.0000
G01 X118.06452 Y225.80645 Z-4
G01 X118.3871 Y225.80645 Z-3.8
G01 X118.70968 Y225.96774 Z-3.8
G01 X119.19355 Y225.80645 Z-3.8
G01 X119.51613 Y225.48387 Z-3.8
G01 X119.67742 Y224.03226 Z-3.5
G01 X119.51613 Y222.25806 Z-3.4
G01 X119.03226 Y220.48387 Z-3.3
G01 X118.54839 Y219.35484 Z-3.6
G01 X118.3871 Y218.87097 Z-3.8
G01 X118.22581 Y218.54839 Z-3.8
G01 X118.22581 Y218.3871 Z-4
G01 X118.54839 Y218.3871 Z-3.8
G01 X119.51613 Y218.70968 Z-3.7
G01 X121.12903 Y219.83871 Z-3.3
G01 X122.58065 Y220.96774 Z-3.4
G00 Z0.0000
G00 X128.06452 Y233.70968 Z0.0000
G01 X128.06452 Y233.70968 Z-4
G01 X128.06452 Y233.70968 Z-4
G01 X128.06452 Y233.70968 Z-4
G01 X128.22581 Y233.54839 Z-3.9
G01 X128.3871 Y233.06452 Z-3.8
G01 X128.54839 Y231.93548 Z-3.6
G01 X128.54839 Y230.64516 Z-3.6
G01 X128.54839 Y229.19355 Z-3.5
G01 X128.54839 Y227.74194 Z-3.5
G01 X128.54839 Y226.45161 Z-3.6
G01 X128.54839 Y225 Z-3.5
G01 X128.54839 Y223.54839 Z-3.5
G01 X128.54839 Y222.25806 Z-3.6
G01 X128.3871 Y220.80645 Z-3.5
G01 X128.22581 Y219.35484 Z-3.6
G01 X128.06452 Y217.90323 Z-3.6
G01 X127.74194 Y216.45161 Z-3.5
G01 X127.41935 Y215 Z-3.4
G01 X126.93548 Y213.70968 Z-3.5
