G92 X0 Y0 Z0
G21
G90
F4000
G00 Z0.0000
G00 X54.91613 Y257.41935 Z0.0000
G01 X54.91613 Y257.41935 Z-4
G01 X54.91613 Y257.41935 Z-4
G01 X54.91613 Y257.41935 Z-4
G01 X54.91613 Y257.29677 Z-4
G01 X54.91613 Y257.05161 Z-3.9
G01 X54.79355 Y256.80645 Z-3.8
G01 X54.54839 Y256.31613 Z-3.7
G01 X54.42581 Y255.82581 Z-3.7
G01 X54.18065 Y255.2129 Z-3.7
G01 X53.93548 Y254.6 Z-3.7
G01 X53.56774 Y254.10968 Z-3.7
G01 X53.2 Y253.49677 Z-3.6
G01 X52.83226 Y253.00645 Z-3.7
G01 X52.34194 Y252.39355 Z-3.6
G01 X51.85161 Y251.65806 Z-3.6
G01 X51.36129 Y251.04516 Z-3.6
G01 X50.99355 Y250.43226 Z-3.7
G01 X50.50323 Y249.94194 Z-3.7
G01 X50.13548 Y249.45161 Z-3.7
G01 X49.64516 Y248.96129 Z-3.7
G01 X49.4 Y248.71613 Z-3.8
G01 X49.27742 Y248.47097 Z-3.8
G01 X49.03226 Y248.34839 Z-3.9
G01 X49.03226 Y248.22581 Z-4
G01 X48.90968 Y248.22581 Z-4
G01 X48.7871 Y248.22581 Z-4
G01 X48.7871 Y248.22581 Z-4
G01 X48.7871 Y248.22581 Z-4
G01 X48.7871 Y248.22581 Z-4
G01 X48.7871 Y248.22581 Z-4
G01 X48.90968 Y248.22581 Z-3.9
G01 X49.15484 Y248.34839 Z-3.9
G01 X49.52258 Y248.47097 Z-3.8
G01 X49.76774 Y248.59355 Z-3.8
G01 X50.0129 Y248.71613 Z-3.9
G01 X50.13548 Y248.71613 Z-4
G01 X50.25806 Y248.71613 Z-3.9
G01 X50.38065 Y248.71613 Z-3.9
G01 X50.50323 Y248.71613 Z-4
G01 X50.62581 Y248.59355 Z-3.9
G01 X50.87097 Y248.47097 Z-3.8
G01 X51.11613 Y248.10323 Z-3.8
G01 X51.23871 Y247.73548 Z-3.8
G01 X51.48387 Y247.24516 Z-3.7
G01 X51.72903 Y246.75484 Z-3.7
G01 X51.85161 Y246.14194 Z-3.7
G01 X51.85161 Y245.52903 Z-3.7
G01 X51.97419 Y244.91613 Z-3.7
G01 X52.09677 Y244.42581 Z-3.7
G01 X52.09677 Y243.93548 Z-3.8
G01 X52.21935 Y243.69032 Z-3.8
G01 X52.34194 Y243.32258 Z-3.8
G01 X52.34194 Y243.07742 Z-3.8
G01 X52.46452 Y242.83226 Z-3.8
G01 X52.46452 Y242.5871 Z-3.8
G01 X52.46452 Y242.46452 Z-3.9
G01 X52.46452 Y242.21935 Z-3.8
G01 X52.46452 Y242.09677 Z-3.9
G01 X52.46452 Y242.09677 Z-4
G01 X52.46452 Y241.97419 Z-3.9
G01 X52.46452 Y241.97419 Z-4
G01 X52.46452 Y241.97419 Z-4
G01 X52.46452 Y241.97419 Z-4
G01 X52.46452 Y241.97419 Z-4
G01 X52.46452 Y241.97419 Z-4
G01 X52.46452 Y241.97419 Z-4
G01 X52.46452 Y241.97419 Z-4
G01 X52.46452 Y242.21935 Z-3.8
G01 X52.5871 Y242.95484 Z-3.7
G01 X52.5871 Y244.05806 Z-3.5
G01 X52.83226 Y245.16129 Z-3.5
G01 X53.07742 Y246.26452 Z-3.5
G01 X53.32258 Y247.6129 Z-3.3
G01 X53.8129 Y249.08387 Z-3.4
G01 X54.30323 Y250.1871 Z-3.5
G01 X54.67097 Y250.92258 Z-3.6
G01 X54.79355 Y251.04516 Z-3.9
G00 Z0.0000
G00 X57.98065 Y253.00645 Z0.0000
G01 X57.98065 Y253.12903 Z-4
G01 X58.34839 Y253.25161 Z-3.8
G01 X58.71613 Y253.49677 Z-3.8
G01 X59.20645 Y253.74194 Z-3.7
G01 X59.57419 Y253.86452 Z-3.8
G01 X60.1871 Y254.10968 Z-3.7
G01 X60.92258 Y254.35484 Z-3.6
G01 X61.4129 Y254.47742 Z-3.7
G01 X61.90323 Y254.72258 Z-3.7
G01 X62.39355 Y254.84516 Z-3.8
G01 X63.00645 Y255.09032 Z-3.7
