G92 X0 Y0 Z0
G21
G90
F4000
G00 Z0.0000
G00 X121.93548 Y241.45161 Z0.0000
G01 X121.93548 Y241.45161 Z-4
G01 X121.93548 Y241.45161 Z-4
G01 X121.93548 Y241.45161 Z-4
G01 X121.93548 Y241.45161 Z-4
G01 X121.93548 Y241.45161 Z-4
G01 X122.09677 Y241.45161 Z-4
G01 X122.25806 Y241.12903 Z-3.8
G01 X122.41935 Y240.80645 Z-3.9
G01 X122.74194 Y240.48387 Z-3.8
G01 X122.90323 Y240 Z-3.8
G01 X123.06452 Y239.51613 Z-3.8
G01 X123.3871 Y239.19355 Z-3.8
G01 X123.54839 Y239.03226 Z-3.9
G01 X123.54839 Y238.70968 Z-3.9
G01 X123.70968 Y238.54839 Z-3.9
G01 X123.87097 Y238.3871 Z-3.9
G01 X124.03226 Y238.06452 Z-3.8
G01 X124.19355 Y237.58065 Z-3.8
G01 X124.35484 Y237.09677 Z-3.8
G01 X124.51613 Y236.6129 Z-3.8
G01 X124.51613 Y236.12903 Z-3.8
G01 X124.51613 Y235.80645 Z-3.8
G01 X124.51613 Y235.48387 Z-3.8
G01 X124.51613 Y235.32258 Z-3.9
G01 X124.51613 Y235.16129 Z-4
G00 Z0.0000
G00 X115.16129 Y234.67742 Z0.0000
G01 X115.16129 Y234.67742 Z-4
G01 X115.16129 Y234.67742 Z-4
G01 X115.16129 Y234.67742 Z-4
G01 X115.16129 Y234.51613 Z-4
G01 X115 Y234.51613 Z-3.9
G01 X114.83871 Y234.51613 Z-4
G01 X114.67742 Y234.35484 Z-3.9
G01 X114.19355 Y233.87097 Z-3.7
G01 X113.87097 Y233.06452 Z-3.7
G01 X113.70968 Y232.41935 Z-3.7
G01 X113.3871 Y231.77419 Z-3.7
G01 X113.22581 Y231.12903 Z-3.8
G01 X112.90323 Y230.32258 Z-3.5
G01 X112.58065 Y229.19355 Z-3.6
G01 X112.41935 Y228.3871 Z-3.7
G01 X112.25806 Y227.74194 Z-3.7
G01 X111.93548 Y226.93548 Z-3.7
G01 X111.77419 Y225.96774 Z-3.7
G01 X111.6129 Y225.32258 Z-3.7
G01 X111.6129 Y225 Z-3.9
G01 X111.45161 Y225 Z-4
G01 X111.45161 Y225 Z-4
G01 X111.45161 Y225 Z-4
G00 Z0.0000
G00 X116.29032 Y232.58065 Z0.0000
G01 X116.29032 Y232.58065 Z-4
G01 X116.29032 Y232.58065 Z-4
G01 X116.29032 Y232.58065 Z-4
G01 X116.29032 Y232.58065 Z-4
G01 X116.29032 Y232.74194 Z-3.9
G01 X116.6129 Y232.90323 Z-3.8
G01 X116.93548 Y233.06452 Z-3.8
G01 X117.41935 Y233.22581 Z-3.8
G01 X118.06452 Y233.54839 Z-3.7
G01 X118.87097 Y233.54839 Z-3.7
G01 X119.51613 Y233.70968 Z-3.8
G01 X120 Y233.87097 Z-3.8
G01 X120.64516 Y234.03226 Z-3.8
G01 X121.29032 Y234.03226 Z-3.7
G01 X122.09677 Y234.19355 Z-3.7
G01 X122.90323 Y234.35484 Z-3.7
G01 X123.70968 Y234.51613 Z-3.7
G01 X124.51613 Y234.67742 Z-3.7
G01 X125.32258 Y234.83871 Z-3.7
G01 X125.96774 Y234.83871 Z-3.7
G01 X126.77419 Y234.83871 Z-3.7
G01 X127.41935 Y235 Z-3.8
G01 X127.90323 Y235.16129 Z-3.8
G01 X128.54839 Y235.16129 Z-3.7
G01 X129.35484 Y235.32258 Z-3.7
G01 X130 Y235.32258 Z-3.8
G01 X130.80645 Y235.48387 Z-3.4
G01 X131.45161 Y235.48387 Z-3.7
G01 X131.93548 Y235.48387 Z-3.8
G01 X132.58065 Y235.48387 Z-3.8
G01 X133.06452 Y235.48387 Z-3.8
G01 X133.54839 Y235.48387 Z-3.8
G01 X134.19355 Y235.48387 Z-3.7
G01 X134.51613 Y235.48387 Z-3.9
G01 X135 Y235.48387 Z-3.8
G01 X135.32258 Y235.48387 Z-3.9
G01 X135.64516 Y235.48387 Z-3.8
G01 X135.96774 Y235.48387 Z-3.9
G01 X136.12903 Y235.32258 Z-3.9
